date,season,neutral,playoff,team1,team2,qbelo1_pre,qbelo2_pre,qbelo_prob1,elo_prob2,elo1_post,elo2_post,score1,score2
11/27/1921,1921,0,,CHI,GB,,,,0.221680666,1610.429,1432.696,20,0
12/3/1921,1921,0,,BFF,AKR,,,,0.406973761,1651.616,1608.401,14,0
12/3/1921,1921,0,,NG1,CTI,,,,0.642822777,1271.782,1478.329,0,17
12/4/1921,1921,0,,LOU,COL,,,,0.33969264,1350.735,1354.515,0,6
12/4/1921,1921,0,,CHI,BFF,,,,0.4657839,1623.205,1638.84,10,7
12/4/1921,1921,0,,ARI,AKR,,,,0.570766576,1476.436,1625.86,0,7
12/11/1921,1921,0,,SEN,CTI,,,,0.670752595,1319.27,1448.772,7,0
12/11/1921,1921,0,,CHI,CBD,,,,0.389842648,1641.262,1592.326,10,0
12/18/1921,1921,0,,CHI,ARI,,,,0.210322129,1632.427,1485.271,0,0
12/18/1921,1921,0,,SEN,CBD,,,,0.768109426,1307.796,1603.801,14,28
10/1/1922,1922,0,,BFF,HAM,,,,0.211560035,1602.197,1422.723,7,0
10/1/1922,1922,0,,DAY,OOR,,,,0.170786606,1520.451,1289.034,36,0
10/1/1922,1922,0,,ARI,MIL,,,,0.185649529,1496.457,1295.391,3,0
10/1/1922,1922,0,,CBD,LOU,,,,0.206632793,1584.553,1388.471,38,0
10/1/1922,1922,0,,RII,GB,,,,0.300420505,1548.732,1446.705,19,14
10/1/1922,1922,0,,TOL,ECG,,,,0.299324339,1520.492,1406.634,15,0
10/1/1922,1922,0,,AKR,COL,,,,0.195369401,1598.264,1391.986,36,0
10/1/1922,1922,0,,RAC,CHI,,,,0.545850573,1475.58,1607.373,0,6
10/8/1922,1922,0,,TOL,MIL,,,,0.158430099,1510.074,1305.808,12,12
10/8/1922,1922,0,,RII,CHI,,,,0.490849685,1532.295,1623.81,6,10
10/8/1922,1922,0,,GB,RAC,,,,0.448198487,1428.647,1493.638,6,10
10/8/1922,1922,0,,OOR,COL,,,,0.554401115,1319.588,1361.432,20,6
10/8/1922,1922,0,,DAY,CBD,,,,0.498707677,1520.411,1584.593,0,0
10/12/1922,1922,0,,AKR,RCH,,,,0.268199382,1591.194,1495.96,13,13
10/15/1922,1922,0,,ARI,GB,,,,0.317666638,1512.269,1412.835,16,3
10/15/1922,1922,0,,RII,ECG,,,,0.250202432,1551.226,1387.704,60,0
10/15/1922,1922,0,,BFF,COL,,,,0.146774707,1609.918,1353.711,19,0
10/15/1922,1922,0,,CBD,OOR,,,,0.130146792,1590.722,1313.459,14,0
10/15/1922,1922,0,,CHI,RCH,,,,0.247845938,1633.287,1486.483,7,0
10/15/1922,1922,0,,MIL,RAC,,,,0.669752599,1349.001,1450.445,20,0
10/15/1922,1922,0,,DAY,MNN,,,,0.359379517,1540.279,1465.124,17,0
10/15/1922,1922,0,,TOL,HAM,,,,0.293799246,1524.956,1407.841,14,0
10/22/1922,1922,0,,DAY,HAM,,,,0.242955362,1553.854,1394.265,20,0
10/22/1922,1922,0,,MIL,GB,,,,0.498321997,1348.95,1412.886,0,0
10/22/1922,1922,0,,RII,RCH,,,,0.321505713,1571.238,1466.471,26,0
10/22/1922,1922,0,,AKR,CBD,,,,0.406877903,1552.859,1629.058,0,22
10/22/1922,1922,0,,RAC,TOL,,,,0.513684011,1430.307,1545.095,0,7
10/22/1922,1922,0,,CHI,BFF,,,,0.375500001,1648.3,1594.904,7,0
10/22/1922,1922,0,,ARI,MNN,,,,0.343991113,1521.344,1456.049,3,0
10/29/1922,1922,0,,CHI,CBD,,,,0.381087256,1639.378,1637.979,6,7
10/29/1922,1922,0,,GB,RII,,,,0.631202102,1416.887,1567.237,0,0
10/29/1922,1922,0,,RAC,RCH,,,,0.458596685,1451.153,1445.625,9,0
10/29/1922,1922,0,,AKR,OOR,,,,0.147761459,1563.615,1302.703,62,0
10/29/1922,1922,0,,TOL,LOU,,,,0.218271073,1559.724,1373.841,39,0
10/29/1922,1922,0,,ARI,COL,,,,0.207650995,1534.361,1340.694,37,6
10/29/1922,1922,0,,MIL,HAM,,,,0.471701282,1348.087,1395.128,0,0
10/29/1922,1922,0,,DAY,BFF,,,,0.46558767,1531.384,1617.375,0,7
11/5/1922,1922,0,,ARI,BFF,,,,0.525901024,1546.011,1605.724,9,7
11/5/1922,1922,0,,GB,COL,,,,0.307300062,1424.894,1332.688,3,0
11/5/1922,1922,0,,CHI,DAY,,,,0.26976139,1650.896,1519.867,9,0
11/5/1922,1922,0,,AKR,HAM,,,,0.206843315,1575.341,1383.402,22,0
11/5/1922,1922,0,,RAC,LOU,,,,0.30593059,1474.488,1350.506,57,0
11/5/1922,1922,0,,MNN,OOR,,,,0.221507896,1464.43,1294.323,13,6
11/5/1922,1922,0,,CBD,TOL,,,,0.304779167,1632.025,1565.678,0,0
11/11/1922,1922,0,,RAC,COL,,,,0.233180878,1489.644,1317.532,34,0
11/12/1922,1922,0,,GB,MNN,,,,0.463419833,1445.025,1444.298,14,6
11/12/1922,1922,0,,LOU,ECG,,,,0.460074887,1369.401,1368.809,13,6
11/12/1922,1922,0,,RII,DAY,,,,0.343698895,1591.985,1495.119,43,0
11/12/1922,1922,0,,CBD,BFF,,,,0.371550519,1641.916,1595.833,3,0
11/12/1922,1922,0,,ARI,AKR,,,,0.448846344,1564.38,1556.972,7,0
11/12/1922,1922,0,,CHI,OOR,,,,0.081154051,1655.435,1289.784,33,6
11/19/1922,1922,0,,RAC,GB,,,,0.347279816,1484.986,1449.683,3,3
11/19/1922,1922,0,,MIL,OOR,,,,0.329645438,1364.563,1273.308,13,0
11/19/1922,1922,0,,CHI,RII,,,,0.323131503,1663.899,1583.52,3,0
11/19/1922,1922,0,,ARI,CBD,,,,0.518032929,1544.45,1661.847,0,7
11/19/1922,1922,0,,BFF,AKR,,,,0.354830703,1591.406,1561.399,3,3
11/26/1922,1922,0,,CHI,AKR,,,,0.276036573,1676.201,1549.098,20,10
11/26/1922,1922,0,,BFF,OOR,,,,0.099276507,1535.457,1329.257,7,19
11/26/1922,1922,0,,GB,MIL,,,,0.296470897,1464.332,1349.914,13,0
11/26/1922,1922,0,,RAC,HAM,,,,0.277091559,1495.011,1373.377,6,0
11/26/1922,1922,0,,CBD,ARI,,,,0.259232488,1675.686,1530.611,20,3
11/26/1922,1922,0,,TOL,COL,,,,0.14153325,1567.396,1315.814,7,6
11/30/1922,1922,0,,ARI,CHI,,,,0.613942116,1555.413,1651.399,6,0
11/30/1922,1922,0,,RCH,BFF,,,,0.535675395,1417.24,1563.841,0,21
11/30/1922,1922,0,,CBD,AKR,,,,0.249202682,1688.101,1536.682,14,0
11/30/1922,1922,0,,RAC,MIL,,,,0.229804479,1500.827,1344.098,3,0
11/30/1922,1922,0,,COL,OOR,,,,0.426343372,1285.68,1359.391,6,18
12/3/1922,1922,0,,BFF,AKR,,,,0.370397982,1583.986,1516.538,16,0
12/3/1922,1922,0,,ARI,DAY,,,,0.327117731,1532.446,1518.086,3,7
12/3/1922,1922,0,,RAC,GB,,,,0.357954754,1464.371,1500.787,0,14
12/3/1922,1922,0,,CBD,MIL,,,,0.086715838,1693.301,1338.899,40,6
12/3/1922,1922,0,,CHI,TOL,,,,0.297813787,1668.89,1549.905,22,0
12/10/1922,1922,0,,TOL,CBD,,,,0.61094439,1527.397,1715.809,0,19
12/10/1922,1922,0,,ARI,CHI,,,,0.601391097,1561.071,1640.265,9,0
9/30/1923,1923,0,,ARI,BFF,,,,0.428927419,1554.01,1546.028,3,0
9/30/1923,1923,0,,RAC,TOL,,,,0.466972964,1476.907,1520.938,7,7
9/30/1923,1923,0,,DUL,AKR,,,,0.700605633,1320.823,1491.869,10,7
9/30/1923,1923,0,,RII,CHI,,,,0.460978739,1569.972,1582.552,3,0
9/30/1923,1923,0,,DAY,COL,,,,0.219932608,1516.496,1356.015,7,6
9/30/1923,1923,0,,CBD,HAM,,,,0.155999348,1653.496,1409.294,17,0
9/30/1923,1923,0,,GB,MNN,,,,0.356414968,1519.66,1447.063,12,0
9/30/1923,1923,0,,MIL,OOR,,,,0.426650319,1414.986,1387.207,13,2
10/7/1923,1923,0,,MNN,DUL,,,,0.24957768,1407.648,1360.238,0,10
10/7/1923,1923,0,,HAM,DAY,,,,0.560436619,1433.058,1492.732,7,0
10/7/1923,1923,0,,MIL,COL,,,,0.328796259,1409.765,1361.236,0,0
10/7/1923,1923,0,,TOL,OOR,,,,0.241588986,1530.153,1377.992,7,0
10/7/1923,1923,0,,BFF,AKR,,,,0.334938108,1560.66,1477.237,9,0
10/7/1923,1923,0,,RAC,CHI,,,,0.558227472,1464.881,1594.578,0,3
10/7/1923,1923,0,,RII,CIB,,,,0.12694398,1558.594,1311.378,0,0
10/7/1923,1923,0,,GB,SLA,,,,0.162650927,1509.372,1310.289,0,0
10/7/1923,1923,0,,ARI,RCH,,,,0.270302634,1574.618,1425.886,60,0
10/7/1923,1923,0,,CBD,LOU,,,,0.148127908,1662.965,1405.132,37,0
10/14/1923,1923,0,,RII,RCH,,,,0.242669607,1576.599,1407.881,56,0
10/14/1923,1923,0,,COL,BFF,,,,0.684343794,1352.988,1568.907,0,3
10/14/1923,1923,0,,GB,CHI,,,,0.529046031,1496.433,1607.517,0,3
10/14/1923,1923,0,,MNN,OOR,,,,0.367052234,1430.016,1355.624,23,0
10/14/1923,1923,0,,ARI,AKR,,,,0.281964026,1590.35,1461.504,19,0
10/14/1923,1923,0,,CBD,DAY,,,,0.20519925,1675.697,1480,30,0
10/14/1923,1923,0,,SLA,HAM,,,,0.582378509,1312.801,1430.545,0,0
10/14/1923,1923,0,,MIL,RAC,,,,0.485779617,1409.331,1465.314,7,7
10/21/1923,1923,0,,COL,LOU,,,,0.481507168,1387.028,1371.093,34,0
10/21/1923,1923,0,,CHI,CBD,,,,0.50457626,1588.264,1694.95,0,6
10/21/1923,1923,0,,RAC,AKR,,,,0.402249187,1473.885,1452.934,9,7
10/21/1923,1923,0,,DUL,HAM,,,,0.507636793,1374.346,1416.437,3,0
10/21/1923,1923,0,,CIB,SLA,,,,0.409513082,1326.868,1297.311,6,0
10/21/1923,1923,0,,BFF,OOR,,,,0.167712641,1580.998,1343.534,57,0
10/21/1923,1923,0,,ARI,MNN,,,,0.214648973,1599.317,1421.05,9,0
10/21/1923,1923,0,,GB,MIL,,,,0.294096729,1510.544,1395.22,12,0
10/21/1923,1923,0,,TOL,DAY,,,,0.340094314,1539.114,1471.04,6,3
10/28/1923,1923,0,,MIL,SLA,,,,0.281349074,1405.414,1287.116,6,0
10/28/1923,1923,0,,GB,RAC,,,,0.357737816,1468.915,1515.513,3,24
10/28/1923,1923,0,,CIB,OOR,,,,0.430887065,1354.966,1315.435,27,0
10/28/1923,1923,0,,DUL,MNN,,,,0.473694251,1395.981,1399.415,9,0
10/28/1923,1923,0,,ARI,DAY,,,,0.247388004,1610.223,1460.134,13,3
10/28/1923,1923,0,,TOL,COL,,,,0.22276117,1515.205,1410.937,0,3
10/28/1923,1923,0,,CHI,BFF,,,,0.39747514,1609.603,1559.658,18,3
10/28/1923,1923,0,,CBD,AKR,,,,0.145875162,1699.07,1448.814,7,3
11/4/1923,1923,0,,ARI,CBD,,,,0.534264801,1595.392,1713.901,3,7
11/4/1923,1923,0,,CHI,OOR,,,,0.112292302,1615.967,1309.072,26,0
11/4/1923,1923,0,,RII,MIL,,,,0.204306922,1532.298,1449.715,3,14
11/4/1923,1923,0,,CIB,BFF,,,,0.690857617,1360.787,1553.837,0,0
11/4/1923,1923,0,,SLA,GB,,,,0.66202896,1278.218,1477.813,0,3
11/4/1923,1923,0,,MNN,RAC,,,,0.573010283,1423.813,1491.116,13,6
11/11/1923,1923,0,,ARI,HAM,,,,0.197131825,1602.298,1409.531,6,0
11/11/1923,1923,0,,COL,TOL,,,,0.556271792,1443.03,1483.111,16,0
11/11/1923,1923,0,,SLA,OOR,,,,0.451017561,1296.689,1290.602,14,7
11/11/1923,1923,0,,CHI,AKR,,,,0.208105981,1626.162,1438.618,20,6
11/11/1923,1923,0,,BFF,CBD,,,,0.633493242,1557.909,1709.83,3,3
11/11/1923,1923,0,,CIB,DAY,,,,0.549268909,1362.29,1458.631,0,0
11/11/1923,1923,0,,MIL,DUL,,,,0.335483297,1458.54,1387.156,6,3
11/11/1923,1923,0,,RAC,GB,,,,0.389182865,1455.227,1513.702,0,16
11/11/1923,1923,0,,MNN,RII,,,,0.562255209,1425.711,1530.4,6,6
11/18/1923,1923,0,,CIB,COL,,,,0.522636197,1382.776,1422.544,9,3
11/18/1923,1923,0,,BFF,DAY,,,,0.279758431,1565.126,1451.414,3,0
11/18/1923,1923,0,,MIL,GB,,,,0.485845763,1444.221,1528.022,7,10
11/18/1923,1923,0,,ARI,DUL,,,,0.166224211,1609.37,1380.084,10,0
11/18/1923,1923,0,,CHI,RII,,,,0.283854726,1634.677,1521.885,7,3
11/18/1923,1923,0,,CBD,OOR,,,,0.058006657,1713.384,1287.048,41,0
11/24/1923,1923,0,,SLA,MIL,,,,0.616588345,1275.326,1465.583,0,17
11/24/1923,1923,0,,RCH,TOL,,,,0.5147179,1389.082,1501.91,6,12
11/25/1923,1923,0,,GB,DUL,,,,0.226922691,1537.944,1370.162,10,0
11/25/1923,1923,0,,BFF,TOL,,,,0.323426189,1559.741,1507.295,3,3
11/25/1923,1923,0,,ARI,RAC,,,,0.220717759,1575.686,1488.911,4,10
11/25/1923,1923,0,,COL,OOR,,,,0.239732295,1436.688,1272.903,27,3
11/25/1923,1923,0,,RII,MNN,,,,0.283372859,1515.278,1432.318,6,6
11/25/1923,1923,0,,CHI,HAM,,,,0.158395564,1640.497,1403.711,14,7
11/25/1923,1923,0,,CIB,CBD,,,,0.821854473,1371.297,1724.863,10,46
11/29/1923,1923,0,,AKR,BFF,,,,0.580072242,1451.697,1546.662,2,0
11/29/1923,1923,0,,RAC,MIL,,,,0.375555348,1452.047,1502.447,0,16
11/29/1923,1923,0,,GB,HAM,,,,0.241059912,1551.188,1390.467,19,0
11/29/1923,1923,0,,CHI,ARI,,,,0.321420331,1648.912,1567.271,3,0
11/29/1923,1923,0,,CBD,TOL,,,,0.164297736,1734.669,1497.49,28,0
12/1/1923,1923,0,,RCH,BFF,,,,0.630167002,1370.35,1565.394,0,13
12/2/1923,1923,0,,CHI,MIL,,,,0.228413643,1640.629,1510.73,0,0
12/2/1923,1923,0,,COL,DAY,,,,0.428150664,1464.584,1423.517,30,3
12/2/1923,1923,0,,ARI,OOR,,,,0.112177589,1569.945,1270.23,22,19
12/2/1923,1923,0,,RAC,MNN,,,,0.380426268,1475.33,1409.035,23,0
12/2/1923,1923,0,,CBD,BFF,,,,0.206100117,1744.757,1555.306,14,0
12/9/1923,1923,0,,COL,CBD,,,,0.775326389,1454.769,1754.572,0,10
